feature,lang,diff,stderr,ci95_l,ci95_u,method
f0,Spanish,0.730228584324725,0.0245839914920067,0.681856297443281,0.778600871206169,common language effect size
-|Δf0|,Spanish,0.557129960989135,0.0261811767401714,0.505680278609043,0.608579643369227,common language effect size
Spectral centroid,Spanish,0.506810222193338,0.0143348857528838,0.478690717426178,0.534929726960497,common language effect size
f0,Spanish,0.6287284144427,0.0238088225627445,0.581960437650647,0.675496391234753,common language effect size
-|Δf0|,Spanish,0.596629560915275,0.023237426269754,0.550988296118951,0.642270825711599,common language effect size
Spectral centroid,Spanish,0.640313187697923,0.0136883653516642,0.613458156486063,0.667168218909783,common language effect size
f0,Spanish,0.533159157557985,0.0250190443686269,0.483978946270224,0.582339368845746,common language effect size
-|Δf0|,Spanish,0.465326579578779,0.0234929343972383,0.419183586759929,0.511469572397629,common language effect size
Spectral centroid,Spanish,0.452754515214353,0.0135637716870634,0.426149668209847,0.479359362218859,common language effect size
f0,Spanish,0.725385659418406,0.0111355049021726,0.703546815898549,0.747224502938264,common language effect size
-|Δf0|,Spanish,0.555940974327875,0.0136593055052552,0.529142383492302,0.582739565163449,common language effect size
Spectral centroid,Spanish,0.544139763768826,0.00807130637638645,0.528313919124185,0.559965608413467,common language effect size
f0,Spanish,0.848207721042211,0.00796122759860722,0.832589004817376,0.863826437267046,common language effect size
-|Δf0|,Spanish,0.509852400971481,0.0112548518501188,0.487770657610082,0.531934144332879,common language effect size
Spectral centroid,Spanish,0.410463632643688,0.00588799424336399,0.39892074617618,0.422006519111197,common language effect size
f0,Spanish,0.770503197108702,0.0166634706321615,0.737785651336617,0.803220742880786,common language effect size
-|Δf0|,Spanish,0.622363874657453,0.019854065226294,0.583388528855308,0.661339220459597,common language effect size
Spectral centroid,Spanish,0.457765548567435,0.012267054518334,0.433709216147096,0.481821880987774,common language effect size
f0,Spanish,0.162887915917139,0.0299288949057647,0.103203561970298,0.22257226986398,common language effect size
-|Δf0|,Spanish,0.753215897905848,0.0358755196990253,0.681677544513187,0.824754251298509,common language effect size
